UID	tcga_ei_6507_01a_11r_1736_07_bed	tcga_ag_3902_01a_01r_a32z_07_bed	tcga_af_a56l_01a_31r_a39d_07_bed	tcga_ei_7002_01a_11r_1928_07_bed	tcga_f5_6864_01a_11r_1928_07_bed	tcga_f5_6571_01a_12r_1830_07_bed	tcga_ei_6884_01a_11r_1928_07_bed	tcga_ei_6917_01a_11r_1928_07_bed	tcga_af_2687_01a_02r_1736_07_bed	tcga_ci_6619_01b_11r_1830_07_bed	tcga_ei_6885_01a_11r_1928_07_bed	tcga_af_6672_01a_11r_1830_07_bed	tcga_dy_a0xa_01a_11r_a155_07_bed	tcga_ei_6508_01a_11r_1736_07_bed	tcga_ag_3732_01a_11r_1660_07_bed	tcga_dc_6156_01a_11r_1660_07_bed	tcga_ah_6547_01a_11r_1830_07_bed	tcga_ag_4021_01a_01r_1736_07_bed	tcga_ag_3732_11a_01r_1660_07_bed	tcga_af_2692_11a_01r_a32z_07_bed	tcga_af_2691_11a_01r_a32z_07_bed	tcga_ei_6514_01a_11r_1736_07_bed	tcga_cl_5917_01a_11r_1660_07_bed	tcga_dc_6681_01a_11r_a32z_07_bed	tcga_ei_7004_01a_11r_1928_07_bed	tcga_g5_6572_01a_11r_1830_07_bed	tcga_ag_3731_11a_01r_1736_07_bed	tcga_ag_3731_01a_11r_1736_07_bed	tcga_f5_6861_01a_11r_1928_07_bed	tcga_ah_6903_01a_11r_1928_07_bed	tcga_ci_6620_01a_11r_1830_07_bed	tcga_ah_6549_01a_11r_1830_07_bed	tcga_ag_3742_01a_11r_1660_07_bed	tcga_af_2690_01a_02r_1736_07_bed	tcga_af_4110_01a_02r_1736_07_bed	tcga_ei_6883_01a_31r_1928_07_bed	tcga_f5_6814_01a_31r_1928_07_bed	tcga_dc_5869_01a_01r_1660_07_bed	tcga_ci_6623_01b_11r_1830_07_bed	tcga_af_2693_01a_02r_1736_07_bed	tcga_cl_4957_01a_01r_1736_07_bed	tcga_af_3911_01a_01r_1736_07_bed	tcga_ah_6643_01a_11r_1830_07_bed	tcga_ei_6510_01a_11r_1736_07_bed	tcga_ag_3592_01a_02r_1736_07_bed	tcga_dc_6157_01a_11r_1660_07_bed	tcga_ci_6621_01a_11r_1830_07_bed	tcga_ag_3591_01a_01r_1736_07_bed	tcga_ei_6881_01a_11r_a32z_07_bed	tcga_af_2689_11a_01r_a32z_07_bed	tcga_dy_a1dc_01a_31r_a155_07_bed	tcga_ag_4022_01a_01r_1736_07_bed	tcga_g5_6641_01a_11r_a32z_07_bed	tcga_f5_6863_01a_11r_1928_07_bed	tcga_dc_4749_01a_01r_1736_07_bed	tcga_cl_5918_01a_11r_1660_07_bed	tcga_g5_6235_01a_11r_1736_07_bed	tcga_f5_6812_01a_11r_1830_07_bed	tcga_dc_6154_01a_31r_1928_07_bed	tcga_f5_6810_01a_11r_1830_07_bed	tcga_f5_6702_01a_11r_1830_07_bed	tcga_f5_6465_01a_11r_1736_07_bed	tcga_dc_6158_01a_11r_1660_07_bed	tcga_ci_6624_01c_11r_1830_07_bed	tcga_dy_a1df_01a_11r_a155_07_bed	tcga_dy_a1dd_01a_21r_a155_07_bed	tcga_dy_a1dg_01a_11r_a32y_07_bed	tcga_dt_5265_01a_21r_1830_07_bed	tcga_g5_6233_01a_11r_1736_07_bed	tcga_af_a56k_01a_32r_a39d_07_bed	tcga_af_a56n_01a_12r_a39d_07_bed	tcga_bm_6198_01a_11r_1736_07_bed	tcga_dy_a1de_01a_11r_a155_07_bed	tcga_ag_3574_01a_01r_0821_07_bed	tcga_ag_3742_11a_01r_1660_07_bed	tcga_ag_3725_11a_01r_1736_07_bed	tcga_dc_5337_01a_01r_1660_07_bed	tcga_g5_6572_02a_12r_1830_07_bed	tcga_ag_3725_01a_11r_1736_07_bed	tcga_ei_6506_01a_11r_1736_07_bed	tcga_af_6655_01a_11r_1830_07_bed	tcga_ei_6512_01a_11r_1736_07_bed	tcga_ei_6513_01a_21r_1736_07_bed	tcga_ei_6882_01a_11r_1928_07_bed	tcga_ei_6509_01a_11r_1736_07_bed	tcga_ah_6644_01a_21r_1830_07_bed	tcga_ef_5831_01a_01r_1660_07_bed	tcga_dc_6682_01a_11r_1830_07_bed	tcga_dc_6683_01a_11r_1830_07_bed	tcga_dc_4745_01a_01r_a32z_07_bed	tcga_f5_6464_01a_11r_1736_07_bed	tcga_f5_6811_01a_11r_1830_07_bed	tcga_ah_6643_11a_01r_1830_07_bed	tcga_ah_6897_01a_11r_1928_07_bed	tcga_dc_6160_01a_11r_1660_07_bed	tcga_af_3400_11a_01r_a32z_07_bed	tcga_ci_6622_01a_11r_1830_07_bed	tcga_ei_6511_01a_11r_1736_07_bed	tcga_ef_5830_01a_01r_1660_07_bed	tcga_ah_6544_01a_11r_1830_07_bed	tcga_f5_6813_01a_11r_1830_07_bed	tcga_af_5654_01a_01r_1660_07_bed	tcga_af_5654_11a_11r_1660_07_bed	tcga_ag_3727_01a_01r_0905_07_bed	tcga_ag_3882_01a_01r_0905_07_bed	tcga_ag_3883_01a_02r_0905_07_bed	tcga_ag_3885_01a_01r_0905_07_bed	tcga_ag_3728_01a_01r_0905_07_bed	tcga_ag_3881_01a_01r_0905_07_bed	tcga_ag_3726_01a_02r_0905_07_bed	tcga_ag_3878_01a_02r_0905_07_bed	tcga_dc_6155_01a_11r_1660_07_bed	tcga_dy_a1h8_01a_21r_a155_07_bed	tcga_ag_a01l_01a_01r_a002_07_bed	tcga_ag_a025_01a_01r_a00a_07_bed	tcga_ag_a020_01a_21r_a083_07_bed	tcga_ag_a002_01a_01r_a002_07_bed	tcga_af_6136_01a_11r_1830_07_bed	tcga_ag_a00h_01a_01r_a00a_07_bed	tcga_ag_a01w_01a_21r_a083_07_bed	tcga_ag_a026_01a_01r_a00a_07_bed	tcga_ag_3893_01a_01r_1119_07_bed	tcga_ag_a014_01a_02r_a002_07_bed	tcga_ag_3612_01a_01r_0826_07_bed	tcga_ag_a01y_01a_41r_a083_07_bed	tcga_ag_4001_01a_02r_1119_07_bed	tcga_ag_a02g_01a_01r_a00a_07_bed	tcga_ag_3600_01a_01r_0826_07_bed	tcga_ag_3581_01a_01r_0821_07_bed	tcga_ag_3898_01a_01r_1119_07_bed	tcga_ag_a036_01a_12r_a083_07_bed	tcga_ag_3601_01a_01r_0826_07_bed	tcga_ag_3593_01a_01r_0821_07_bed	tcga_ag_3599_01a_02r_0826_07_bed	tcga_ag_a023_01a_01r_a00a_07_bed	tcga_ag_a008_01a_01r_a002_07_bed	tcga_ag_3894_01a_01r_1119_07_bed	tcga_ag_3608_01a_01r_0826_07_bed	tcga_ag_4005_01a_01r_1119_07_bed	tcga_ag_a016_01a_01r_a002_07_bed	tcga_ag_3896_01a_01r_1119_07_bed	tcga_ag_3999_01a_01r_1119_07_bed	tcga_ag_4015_01a_01r_1119_07_bed	tcga_ag_3605_01a_01r_0826_07_bed	tcga_af_3913_01a_02r_1119_07_bed	tcga_af_3400_01a_01r_0821_07_bed	tcga_ag_3892_01a_01r_1119_07_bed	tcga_ag_3887_01a_01r_1119_07_bed	tcga_ag_a02n_01a_11r_a083_07_bed	tcga_ag_3598_01a_01r_0826_07_bed	tcga_ag_a02x_01a_01r_a00a_07_bed	tcga_ag_3575_01a_01r_0821_07_bed	tcga_ag_3602_01a_02r_0826_07_bed	tcga_ag_a011_01a_01r_a002_07_bed	tcga_ag_3578_01a_01r_0821_07_bed	tcga_ag_3890_01a_01r_1119_07_bed	tcga_ag_3584_01a_01r_0821_07_bed	tcga_ag_3611_01a_01r_0826_07_bed	tcga_ag_a01j_01a_01r_a00a_07_bed	tcga_af_2692_01a_01r_0821_07_bed	tcga_ag_3587_01a_01r_0821_07_bed	tcga_ag_3594_01a_02r_0821_07_bed	tcga_ag_3901_01a_01r_1119_07_bed	tcga_ag_3583_01a_01r_0821_07_bed	tcga_ag_a00c_01a_01r_a002_07_bed	tcga_ag_a015_01a_01r_a002_07_bed	tcga_ag_3609_01a_02r_0826_07_bed	tcga_ag_4008_01a_01r_1119_07_bed	tcga_ag_3582_01a_01r_0821_07_bed	tcga_ag_a00y_01a_02r_a002_07_bed	tcga_ag_a01n_01a_01r_a00a_07_bed	tcga_ag_a032_01a_01r_a00a_07_bed	tcga_ag_3580_01a_01r_0821_07_bed	tcga_ag_3586_01a_02r_0821_07_bed	tcga_af_2691_01a_01r_0821_07_bed	tcga_ag_4007_01a_01r_1119_07_bed	tcga_ag_3909_01a_01r_1119_07_bed
TSC22D2:ENSG00000196428:E4.1-E5.2|ENSG00000196428:E1.4-E5.2	-0.0	0.00	0.04	0.13	0.07	0.01	0.09	0.00	0.01	-0.0	-0.0	-0.0	0.09	0.04	0.07	0.06	0.03	0.01	0.03	0.04	-0.0	0.04	0.09	0.0	0.07	0.01	-0.0	0.0	0.07	-0.0	0.04	-0.0	-0.0	-0.0	0.21	0.10	0.00	0.00	0.01	0.04	0.04	0.06	-0.0	0.03	-0.0	0.01	0.01	-0.0	0.00	0.01	0.07	-0.0	0.07	0.01	-0.0	-0.0	0.07	0.07	0.04	0.01	-0.0	0.0	0.01	-0.0	-0.1	0.01	-0.0	0.06	-0.0	0.07	0.10	-0.1	0.04	0.04	-0.0	0.09	0.19	-0.0	0.0	0.07	0.13	0.04	0.07	-0.0	0.00	0.00	0.04	-0.0	-0.0	-0.0	0.04	-0.0	0.09	0.00	0.1	-0.0	-0.0	0.01	0.0	-0.0	0.1	0.03	0.09	-0.1	-0.1	-0.1	0.68	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	0.04	-0.1	-0.0	0.00	0.1	-0.1	0.24	0.04	-0.1	-0.1	-0.0	0.12	0.04	0.06	-0.1	-0.0	-0.1	0.1	-0.1	0.12	-0.1	-0.1	0.17	-0.1	-0.1	-0.0	-0.1	-0.1	0.07	-0.0	-0.1	-0.0	-0.1	-0.1	0.12	-0.0	-0.1	0.00	-0.0	-0.1	-0.1	0.07	-0.1	-0.1	-0.1	-0.1	-0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	0.00	-0.1	-0.1	0.19	-0.1	-0.1	-0.0	0.23	-0.1	0.0	0.0
PIDD1:ENSG00000177595:E10.2-E10.5|ENSG00000177595:E10.3-E10.5	0.16	0.03	0.01	0.14	0.06	0.08	0.03	0.19	0.08	0.05	0.17	0.08	0.06	0.03	-0.0	-0.0	0.05	0.08	0.01	-0.0	0.0	0.02	0.08	-0.0	-0.0	0.03	-0.0	-0.0	0.0	0.02	0.17	0.46	0.30	-0.0	-0.0	-0.0	0.03	-0.0	-0.0	-0.0	0.0	0.08	0.04	0.01	-0.0	0.02	0.01	0.05	0.04	0.0	0.08	0.11	0.03	0.01	0.0	-0.0	0.11	0.08	0.03	0.01	0.13	0.11	0.11	0.26	0.08	0.03	0.1	0.04	0.03	0.19	0.12	0.08	0.1	-0.0	-0.0	0.03	0.01	0.04	-0.0	0.01	-0.0	0.03	-0.0	-0.0	-0.0	0.19	0.05	-0.0	0.01	0.16	-0.0	0.1	0.02	0.0	0.01	-0.0	-0.0	0.04	-0.0	0.11	0.07	-0.0	-0.0	-0.0	-0.0	0.02	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.03	-0.0	0.08	-0.0	-0.0	0.31	-0.0	-0.0	0.21	-0.0	-0.0	-0.0	-0.0	-0.0	0.19	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.08	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.06	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.08	-0.0	-0.0	0.04	-0.0	-0.0	-0.0	0.24	0.04	0.0	-0.0	-0.0	0.14	-0.0	0.08	-0.0	-0.0	-0.0	-0.0	0.08	-0.0	-0.0	0.02	0.05	0.04	0.18	-0.0	-0.0	-0.0	0.19
ACAD8:ENSG00000151498:E6.8-I6.1|ENSG00000151498:E6.2-E7.1	0.29	0.22	0.19	0.0	0.21	0.11	0.0	0.13	0.18	0.12	0.11	0.29	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.09	0.12	0.22	0.24	0.0	0.25	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08	0.0	0.0	0.0	0.0	0.19	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.19	0.21	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRPF38B:ENSG00000134186:I5.1-E6.1|ENSG00000134186:E5.1-E6.2	0.1	0.15	0.17	0.09	0.11	0.2	0.07	0.11	0.16	0.24	0.12	0.14	0.12	0.16	0.21	0.1	0.18	0.0	0.09	0.0	0.0	0.0	0.07	0.0	0.0	0.06	0.17	0.11	0.08	0.07	0.12	0.19	0.08	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.15	0.09	0.0	0.21	0.0	0.0	0.12	0.1	0.09	0.0	0.0	0.1	0.0	0.09	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.1	0.08	0.0	0.23	0.28	0.0	0.0	0.11	0.2	0.13	0.14	0.19	0.0	0.0	0.0	0.0	0.0	0.16	0.22	0.17	0.12	0.24	0.0	0.15	0.25	0.0	0.0	0.0	0.0	0.0	0.2	0.21	0.0	0.06	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPLOC4:ENSG00000182446:E30.1-I30.1|ENSG00000182446:E26.1-E32.1	0.02	0.06	0.01	0.04	0.03	0.04	-0.0	0.0	0.17	0.05	0.02	-0.0	0.15	0.05	0.21	0.12	-0.0	0.06	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.04	-0.0	-0.0	0.03	0.09	-0.0	0.01	-0.0	0.1	0.03	0.0	-0.0	-0.0	-0.0	-0.0	0.01	0.12	0.1	0.01	-0.0	-0.0	0.03	0.0	-0.0	-0.0	0.12	0.06	0.13	0.1	-0.0	-0.0	0.02	0.07	0.19	0.02	0.11	-0.0	-0.0	0.32	0.27	-0.0	0.18	0.28	0.09	0.04	0.24	0.19	-0.0	-0.0	-0.0	-0.0	0.07	0.0	0.0	0.09	-0.0	0.08	0.02	0.07	0.18	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	-0.0	0.01	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	0.05	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.36	-0.0	0.01	0.11	-0.0	0.09	-0.0	0.14	0.06	0.05	-0.0	0.01	0.07	-0.0	0.07	-0.0	-0.0	0.22	0.13	-0.0	0.13	-0.0	0.02	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.1	-0.0	-0.0	0.16	0.03	-0.0	0.11	-0.0	0.07	0.1	-0.0	-0.0	0.19	0.08	0.05	-0.0	-0.0	0.44	-0.0	0.06	-0.0	0.02	0.17	-0.0	-0.0	0.07	-0.0	-0.0	0.02	-0.0	-0.0	0.13	0.15	-0.0	-0.0
SFT2D1:ENSG00000198818:E1.3-I1.1_166332045|ENSG00000198818:E1.3-E3.1	0.03	-0.0	-0.0	-0.0	-0.0	0.06	0.01	-0.0	-0.0	0.01	-0.0	0.01	0.01	0.04	0.04	0.0	-0.0	0.04	0.01	0.0	0.0	-0.0	0.07	0.01	0.0	0.01	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.16	0.01	0.0	-0.0	-0.0	0.01	-0.0	0.01	0.0	0.06	-0.0	-0.0	0.01	-0.0	-0.0	0.01	0.06	0.03	-0.0	0.0	0.04	0.03	-0.0	0.0	0.04	0.12	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	0.18	0.01	0.30	-0.0	-0.0	0.01	0.01	0.01	0.01	-0.0	0.06	0.0	0.01	0.04	0.03	0.01	0.03	0.0	0.0	-0.0	0.0	0.01	0.07	0.07	-0.0	0.07	-0.0	-0.0	-0.0	0.01	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.07	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.76	0.10	-0.0	0.03	0.06	-0.0	0.01	0.0	0.01	0.01	-0.0	0.0	0.01	-0.0	-0.0	-0.0	0.04	-0.0	0.0	0.01	0.0	-0.0	0.03	0.07	0.01	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	0.04	0.22	0.12	-0.0	0.01	-0.0	0.01	0.01	-0.0	0.01	0.0	-0.0	-0.0	0.01	-0.0	-0.0	0.04	-0.0	0.0	-0.0	-0.0	0.01	-0.0	0.04	-0.0	-0.0	-0.0	-0.0	-0.0
TPGS2:ENSG00000134779:E10.3-E13.1|ENSG00000134779:E10.3-E11.1	-0.1	0.07	-0.0	0.01	0.0	0.03	-0.0	-0.0	-0.0	-0.0	-0.1	0.05	0.10	0.08	0.02	0.0	-0.0	0.06	0.04	-0.0	-0.0	0.0	-0.0	0.08	0.01	0.10	-0.0	-0.0	0.03	-0.0	-0.0	-0.0	-0.0	0.04	0.04	0.01	0.0	0.01	-0.0	-0.0	0.14	-0.0	-0.0	-0.0	0.0	0.03	0.05	-0.0	0.04	0.01	0.08	0.03	-0.0	0.03	-0.0	0.07	-0.0	-0.0	0.01	0.08	-0.0	-0.0	-0.0	-0.0	0.16	0.03	0.07	0.07	-0.0	-0.0	0.02	-0.0	-0.0	-0.0	0.0	0.07	0.05	0.13	0.10	0.02	-0.0	-0.0	-0.1	-0.0	-0.0	-0.0	0.02	0.05	0.07	0.01	-0.0	-0.0	-0.0	-0.0	0.02	0.05	-0.0	-0.0	0.10	0.05	0.05	-0.0	0.03	-0.1	-0.1	-0.0	-0.1	-0.1	-0.1	-0.0	-0.1	0.42	0.15	0.16	0.01	0.01	-0.0	0.13	0.10	0.06	-0.1	0.04	0.0	0.16	-0.1	0.06	-0.0	0.08	-0.0	-0.0	0.10	-0.0	-0.0	-0.0	-0.0	-0.0	0.03	0.42	-0.0	0.04	0.06	0.07	-0.0	-0.0	-0.0	0.01	0.09	0.04	0.03	-0.1	0.01	0.21	0.10	-0.1	0.03	-0.0	0.10	0.09	0.02	0.08	-0.0	-0.0	-0.0	0.18	-0.0	0.08	-0.0	-0.0	-0.0	0.02	0.07	-0.0	-0.0	-0.0	0.02	0.01	0.01
CTSC:ENSG00000109861:E3.2-E5.1|ENSG00000109861:E2.1-E6.1	-0.0	-0.0	-0.0	-0.0	0.25	0.07	0.03	0.04	0.08	-0.0	-0.0	0.09	-0.0	-0.0	0.08	0.04	-0.0	-0.1	0.03	0.03	-0.0	-0.0	0.03	-0.0	0.07	0.07	-0.0	-0.0	0.03	0.0	-0.0	-0.0	0.0	0.06	-0.0	0.04	0.09	0.03	0.06	-0.0	-0.1	-0.0	-0.1	-0.0	-0.0	0.01	-0.0	-0.0	-0.0	0.06	0.24	0.0	-0.0	0.09	0.0	-0.0	-0.0	0.2	0.02	0.15	0.10	0.03	0.08	-0.0	0.39	0.31	0.21	0.32	0.02	0.12	-0.0	0.07	0.09	0.08	0.09	0.10	0.0	-0.0	0.02	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.12	0.07	-0.0	0.02	0.14	0.16	0.09	-0.0	-0.0	-0.0	-0.1	0.03	0.15	-0.0	0.09	0.03	-0.0	-0.2	-0.0	0.08	-0.0	-0.0	-0.1	0.01	-0.0	0.49	0.41	-0.0	-0.0	-0.0	0.03	-0.1	0.08	-0.0	-0.0	-0.0	-0.0	0.13	-0.1	0.0	-0.0	-0.0	-0.0	0.06	-0.0	-0.0	0.04	-0.0	-0.0	-0.0	-0.0	0.08	0.04	-0.0	-0.0	-0.0	-0.0	0.04	0.12	0.01	0.15	-0.0	0.04	-0.0	-0.1	0.14	-0.1	0.09	0.03	0.14	0.01	0.04	0.07	0.06	-0.0	-0.0	0.06	-0.1	-0.0	0.09	-0.0	0.13	-0.0	-0.0	0.03	0.09	0.0	-0.0	0.02	-0.0	-0.0
SFXN4:ENSG00000183605:I5.1-E6.1|ENSG00000183605:E5.1-E6.1	0.14	0.06	0.1	0.0	0.0	0.0	0.0	0.05	0.07	0.05	0.0	0.16	0.16	0.0	0.07	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.05	0.0	0.0	0.03	0.05	0.0	0.04	0.0	0.05	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.42	0.0	0.0	0.14	0.0	0.27	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.06	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.16	0.0	0.0	0.07	0.0	0.0	0.06	0.16	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.16	0.0	0.0	0.15	0.16	0.27	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.16	0.0	0.0
LAMA5:ENSG00000130702:I65.1-E66.1|ENSG00000130702:E65.1-E66.2	0.09	0.0	0.23	0.0	0.12	0.0	0.0	0.3	0.24	0.08	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.16	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.29	0.26	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0
HEXDC:ENSG00000169660:I9.1-E10.1|ENSG00000169660:E9.2-E10.2	0.34	0.11	0.14	0.0	0.21	0.0	0.0	0.2	0.16	0.19	0.23	0.0	0.17	0.0	0.24	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.24	0.0	0.21	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.14	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0
USF1:ENSG00000158773:E12.7-I12.1|ENSG00000158773:E12.7-E13.1	0.0	0.06	0.12	0.1	0.0	0.0	0.07	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.11	0.0	0.0	0.0	0.08	0.0	0.0	0.08	0.0	0.0	0.09	0.11	0.0	0.0	0.0	0.2	0.0	0.0	0.11	0.07	0.18	0.1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.07	0.0	0.0	0.31	0.0	0.1	0.14	0.0	0.23	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.14	0.0
